name,population
California,"39,356,104"
93908,"12,983"
93920,"1,790"
93921,"2,469"
93923,"12,630"
93924,"6,563"
93925,"1,352"
93926,"8,941"
93927,"19,983"
93928,"1,040"
93930,"16,807"
93932,370
93933,"27,197"
93940,"31,513"
93943,12
93944,"2,605"
93950,"15,098"
93953,"3,416"
93954,501
93955,"32,610"
93960,"26,037"
93962,198
94002,"27,893"
94005,"4,756"
94010,"43,458"
94014,"46,331"
94015,"65,125"
94018,"3,423"
94019,"15,275"
94020,"2,030"
94021,123
94022,"20,052"
94024,"24,041"
94025,"41,017"
94027,"7,142"
94028,"6,888"
94030,"22,825"
94037,"2,649"
94038,"3,165"
94040,"35,667"
94041,"15,222"
94043,"32,670"
94044,"38,061"
94060,"1,312"
94061,"37,539"
94062,"26,531"
94063,"34,807"
94065,"11,588"
94066,"43,369"
94070,"31,312"
94074,151
94080,"66,262"
94085,"22,996"
94086,"49,217"
94087,"58,913"
94089,"23,447"
94102,"34,077"
94103,"32,400"
94104,557
94105,"13,722"
94107,"30,340"
94108,"12,070"
94109,"56,333"
94110,"69,679"
94111,"4,468"
94112,"80,880"
94114,"33,858"
94115,"33,299"
94116,"43,903"
94117,"39,496"
94118,"40,108"
94121,"43,304"
94122,"59,453"
94123,"24,721"
94124,"37,347"
94127,"21,184"
94128,0
94129,"3,952"
94130,"3,136"
94131,"28,705"
94132,"27,641"
94133,"25,460"
94134,"40,738"
94158,"10,205"
94188,0
94301,"17,259"
94303,"47,989"
94304,"4,489"
94305,"17,279"
94306,"27,785"
94401,"35,392"
94402,"26,150"
94403,"43,858"
94404,"36,397"
94501,"63,340"
94502,"14,225"
94503,"21,791"
94505,"15,445"
94506,"26,947"
94507,"14,503"
94508,"3,406"
94509,"70,889"
94510,"27,223"
94511,"1,993"
94512,57
94513,"67,580"
94514,"2,023"
94515,"7,024"
94516,212
94517,"12,349"
94518,"28,287"
94519,"20,162"
94520,"36,699"
94521,"41,092"
94523,"34,964"
94525,"3,599"
94526,"33,396"
94528,726
94530,"26,483"
94531,"44,115"
94533,"78,129"
94534,"41,395"
94535,"3,873"
94536,"71,445"
94538,"66,215"
94539,"53,464"
94541,"67,401"
94542,"16,188"
94544,"77,712"
94545,"33,700"
94546,"45,761"
94547,"26,041"
94548,598
94549,"28,456"
94550,"49,463"
94551,"40,025"
94552,"14,948"
94553,"49,062"
94555,"37,671"
94556,"15,959"
94558,"65,084"
94559,"28,224"
94560,"47,470"
94561,"44,546"
94562,0
94563,"19,416"
94564,"18,946"
94565,"100,826"
